id_aide,nom,promesse,description_courte,description_longue,debut_de_validite,fin_de_validite,url_source,illustration,thematique_aide,etape_activation_1,etape_activation_1_liens,etape_activation_2,etape_activation_2_liens,etape_activation_3,etape_activation_3_liens,etape_activation_4,etape_activation_4_liens,etape_activation_5,etape_activation_5_liens,etape_activation_6,etape_activation_6_liens,contact_question,programme_aides,porteurs_aide,porteur_siren,types_aides,type_depense,montant_aide_ou_cout,duree_aide,beneficiaires_aide,eligibilite_geographique,eligibilite_sectorielle,eligibilite_effectif,eligibilite_autre,cible
0158cf26-7be4-4191-864e-57fdcf8fc1f6,Accélérateur décarbonation,Définissez une stratégie bas carbone robuste,"Profitez d’un accompagnement pour structurer une trajectoire de décarbonation ambitieuse, en lien avec vos enjeux de développement. Pendant 24 mois, vous bénéficiez :

- de 8 séminaires thématiques animés avec Mines ParisTech

- de 29 jours de conseil personnalisé par Bpifrance

- une communauté de dirigeants engagés et à un réseau de 3 000 entreprises accélérées.",,06/02/2023,31/12/2025,https://www.bpifrance.fr/nos-appels-a-projets-concours/candidatez-a-la-3e-promotion-de-laccelerateur-decarbonation ,,écologie > analyses,Complétez le formulaire de candidature en ligne sur le site de Bpifrance.,[Inscription](https://evenements.bpifrance.fr/ami-accelerateur-decarbonation-3/registration/register),Échangez avec un chargé d'affaires Bpifrance pour vérifier l’adéquation entre vos enjeux et le programme.,,Intégrez le programme à l’issue du processus de validation par Bpifrance.,,,,,,,,,,Banque Publique d'Investissement France,483790069,étude,,29 000 € HT,39 jours de conseil et 8 jours de formation,Entreprises privées,France entière,Tous secteurs d’activité,Toutes tailles,"- Réaliser un chiffre d’affaires supérieur à 10 M€ et inférieur à 5 milliards d'euros
- Avoir réalisé un bilan carbone datant de moins de 2 ans ; Au moins 3 ans d’activité","'Secteurs Préférentiels de l'aide' : [A, B, C, D, E, F, G, H, I, J, K, L, M, N, O, P, Q, R, S, T, U]"
6a760317-a490-4734-b01b-67d2c2b6329b,ACT - Programme Volontaire Français,Développez votre stratégie bas carbone et mettez en œuvre votre plan de transition,"L’ADEME soutient financièrement les entreprises qui souhaitent questionner leur modèle économique pour identifier un nouveau modèle compatible avec une trajectoire bas carbone. 
Vous serez accompagné avec la méthode ACT Pas à Pas (Assessing Low Carbon Transition), une méthode structurante, progressive et sur le long terme qui aide les entreprises à réduire significativement leurs émissions de gaz à effet de serre.","L'étude ACT Pas à Pas se déroule en 12 à 18 mois selon les entreprises. Les grandes étapes de l'étude sont les suivantes :  
• Analyser la maturité initiale de l'entreprise sur des bases carbone.
• Exposer les enjeux et  réaliser une analyse stratégique de l’entreprise dans un contexte de transition bas carbone.
• Déterminer une vision d’entreprise et concevoir la feuille de route du plan de transition à court, moyen et long terme. 
• Elaborer des objectifs de performance carbone et définir une stratégie.
• Mettre en oeuvre des actions de décarbonation.",13/11/2023,30/06/2026,https://actinitiative.org/fr/act-in-france/,,écologie > analyses,Choisissez le prestataire qui va vous accompagner pour mener l'étude méthodologie ACT.,"[Prestataires ""ACT Pas à pas""](https://actinitiative.org/fr/find-an-advisor/)","Déposez votre demande d'aide : informations administratives, description du projet, détails techniques et financiers, etc. A ce stade, votre projet ne doit pas avoir commencé !",[Soutien financier](https://actinitiative.org/fr/act-in-france-soutien-financier/),"L'ADEME étudie votre demande d'aide. Si votre demande est acceptée, recevez un contrat de financement précisant le montant d’aide maximum, les conditions et les modalités de versement.",,Réalisez votre étude ACT Pas à Pas.,,,,,,,,ADEME,385290309,Financement-étude,,"Jusqu'à 80% du coût de l'étude, dans un maximum de 18 000 €",,Entreprises privées,France entière,"Tous secteurs d’activité, sauf les industries gérées par le programme PACTE Industrie",Toutes tailles,"- Pour accéder à cette étude, vous devez avoir déjà réalisé un premier bilan de gaz à effet de serre.","'Secteurs Préférentiels de l'aide' : [A, B, C, D, E, F, G, H, I, J, K, L, M, N, O, P, Q, R, S, T, U]"
41c65d79-fa41-4396-8153-bea543493596,Aides au réemploi des emballages,Réalisez une étude pour vous aider à réduire vos emballages plastiques,"Réduisez votre production de déchets en mettant en place des solutions concrètes de réemploi des emballages. Cette aide finance les premières étapes de votre projet pour passer à un modèle circulaire. Vous pouvez être soutenu pour :

- des investissements en équipements et outils dédiés au réemploi

- des expérimentations à petite échelle pour tester la solution

- des diagnostics ou études de faisabilité en amont du projet

Passez à l’action et structurez une démarche durable et opérationnelle dans votre filière.",,01/01/2023,31/12/2025,https://agirpourlatransition.ademe.fr/entreprises/aides-financieres/2024/aides-reemploi-emballages-contenants?cible=79,,écologie > dechets,Vérifiez l’éligibilité de votre projet en parcourant la documentation de l’ADEME ou en contactant un conseiller.,[Conditions éligibilité et financement](https://agirpourlatransition.ademe.fr/entreprises/sites/default/files/R%C3%A9emploi%20emballages%20-%20Conditions%20d%27%C3%A9ligibilit%C3%A9%20et%20de%20financement%20-%202025.docx),"Si vous souhaitez financer une étude, commencez par choisir le prestataire qui va vous accompagner et faites réaliser un devis.",,"Si vous souhaitez financer un investissement, vous devez avoir réalisé en amont les études justifiant l'intérêt économique et écologique de votre investissement. Elles seront à joindre à votre dossier.",,Créez un compte ADEME pour pouvoir déposer votre dossier., ; [Créer mon compte ADEME](https://agirpourlatransition.ademe.fr/user/register),"Déposez votre dossier : informations administratives, description du projet, détails techniques et financiers, etc. À ce stade, votre projet ne doit pas avoir commencé !",[Déposer mon dossier](https://agirpourlatransition.ademe.fr/entreprises/aides-financieres/2025/aides-reemploi-emballages),"L'ADEME étudie votre demande d'aide. Si votre demande est acceptée, recevez un contrat de financement précisant le montant d’aide maximum, les conditions et les modalités de versement.",,,,ADEME,385290309,Financement,,Jusqu'à 80% du coût de l'étude ou 60% de l'investissement,,Entreprises privées,Provence-Alpes-Côte d'Azur ; Polynésie française ; Pays de la Loire ; Nouvelle-Calédonie ; Nouvelle-Aquitaine ; Mayotte ; Martinique ; La Réunion ; Île-de-France ; Hauts-de-France ; Guyane ; Guadeloupe ; Grand Est ; Centre-Val de Loire ; Bretagne ; Bourgogne-Franche-Comté ; Auvergne-Rhône-Alpes ; Occitanie ; Normandie,Tous secteurs d’activité,Toutes tailles,"- L'opération pour laquelle vous sollicitez une aide financière ne doit pas avoir commencé ou ne doit pas avoir donné lieu à des engagements fermes (sous quelque forme que ce soit : marché signé, commande signée, devis accepté…)","'Secteurs Préférentiels de l'aide' : [A, B, C, D, E, F, G, H, I, J, K, L, M, N, O, Q, R, S]"
bf1e2ec9-cbd6-41a9-b6d2-9073cc26894a,AMO chaufferie biomasse,Financez une prestation d’assistance à maîtrise d’ouvrage pour la mise en place d'une chaufferie biomasse,"Vous avez pour projet de mettre en place une chaufferie biomasse dans votre entreprise? Afin de garantir la bonne exécution de votre projet, l’ADEME vous aide à financer des prestations d’assistance à maîtrise d’ouvrage (AMO).","Les missions d’assistance à maitrise d’ouvrage vous permettront :
• d’assurer la qualité du projet à travers une vision globale et en coordination avec les différents acteurs du projet ;
• de mettre en œuvre les différentes étapes du projet et de rédiger les cahiers des charges si nécessaire (bureau d’études, maîtrise d’œuvre) ;
• de s’assurer de la conformité réglementaire et technique de l’installation ;
• de s’assurer du bon fonctionnement de l’installation et des modalités de maintenance.",01/01/2023,31/12/2024,https://agirpourlatransition.ademe.fr/entreprises/aides-financieres/2023/assistance-a-maitrise-douvrage-mise-place-dune-chaufferie-biomasse,,écologie > energie,Vérifiez l’éligibilité de votre projet en parcourant la documentation de l’ADEME ou en contactant un conseiller.,[Conditions éligibilité et financement](https://agirpourlatransition.ademe.fr/entreprises/entreprises/sites/default/files/%C3%89tudes%20en%20faveur%20de%20la%20transition%20%C3%A9cologique%20-%20Conditions%20d%27%C3%A9ligibilit%C3%A9%20et%20de%20financement%20-%202024.pdf),"Choisissez votre assistant maître d'ouvrage ""Reconnu Garant de l'Environnement"" (RGE), et obtenez un devis.",[Annuaire des professionnels RGE](https://france-renov.gouv.fr/annuaires-professionnels/artisan-rge-architecte),Créez un compte ADEME pour pouvoir déposer votre dossier.,[Créer mon compte ADEME](https://agirpourlatransition.ademe.fr/user/register),"Déposez votre dossier : informations administratives, description du projet, détails techniques et financiers, etc. À ce stade, votre projet ne doit pas avoir commencé !",[Déposer mon dossier](https://agirpourlatransition.ademe.fr/entreprises/entreprises/aides-financieres/2024/assistance-a-maitrise-douvrage-mise-place-dune-chaufferie-biomasse),"L'ADEME étudie votre demande d'aide. Si votre demande est acceptée, recevez un contrat de financement précisant le montant d’aide maximum, les conditions et les modalités de versement.",,Démarrez la mission d’assistance à maitrise d’ouvrage.,,,,ADEME,385290309,Financement-étude,,"Jusqu'à 80% du coût de l'étude, dans un maximum de 100 000 €",,Entreprises privées,France entière,Tous secteurs d’activité,Toutes tailles,"- L'opération pour laquelle vous sollicitez une aide financière ne doit pas avoir commencé ou ne doit pas avoir donné lieu à des engagements fermes (sous quelque forme que ce soit : marché signé, commande signée, devis accepté…)","'Secteurs Préférentiels de l'aide' : [A, C, E]"
6b10bc5b-f2f5-4bdd-95ec-b3e61a675b19,Audit énergétique volontaire en industrie,"Entreprise industrielle, réalisez un audit énergétique de votre site de production","L’ADEME vous aide à financer l'audit énergétique sur le périmètre de votre choix : site de production, atelier ou process. 
L'audit énergétique vous permet de réaliser un état des lieux complet de vos consommations et d'identifier vos postes les plus émetteurs en terme de dépenses énergétiques. Votre auditeur énergétique vous aidera ensuite a identifier les actions les plus rentables et efficaces à mener et à les hiérarchiser en fonction du temps de retour sur investissement et de leur facilité de leur mise en œuvre.",Les audits énergétiques offrent pour bénéfices 10 à 20 % d'économie sur un site en moyenne et des bases solides pour la mise en œuvre d'un Système de Management de l'énergie (SMé).,01/01/2023,31/12/2025,https://agirpourlatransition.ademe.fr/entreprises/aides-financieres/2023/audit-energetique-industrie,,écologie > energie,Vérifiez l’éligibilité de votre projet en parcourant la documentation de l’ADEME ou en contactant un conseiller.,[Conditions éligibilité et financement](https://agirpourlatransition.ademe.fr/entreprises/sites/default/files/%C3%89tudes%20transition%20%C3%A9cologique%20industrie%20-%20Conditions%20d%27%C3%A9ligibilit%C3%A9%20et%20de%20financement%20-%202025.pdf),"Choisissez un auditeur énergétique ""Reconnu Garant de l'Environnement"" (RGE), et obtenez un devis.",[Annuaire des professionnels RGE](https://france-renov.gouv.fr/annuaires-professionnels/artisan-rge-architecte),Créez un compte ADEME pour pouvoir déposer votre dossier.,[Créer mon compte ADEME](https://agirpourlatransition.ademe.fr/user/register),"Déposez votre dossier : informations administratives, description du projet, détails techniques et financiers, etc. À ce stade, votre projet ne doit pas avoir commencé !",[Déposer mon dossier](https://agirpourlatransition.ademe.fr/entreprises/aides-financieres/2025/audit-energetique-volontaire-industrie),"L'ADEME étudie votre demande d'aide. Si votre demande est acceptée, recevez un contrat de financement précisant le montant d’aide maximum, les conditions et les modalités de versement.",,"Réalisez votre audit énergétique. Vous disposerez d'un état des lieux complet de vos consommations, des pistes d'amélioration sous forme de plan d'action ainsi que les gains économiques associés et leurs temps de retour sur investissement.",,,,ADEME,385290309,Financement-étude,,"Jusqu'à 80% du coût de l'étude, dans un maximum de 100 000 €",,Entreprises privées,France entière,Industrie,Toutes tailles,"- L'opération pour laquelle vous sollicitez une aide financière ne doit pas avoir commencé ou ne doit pas avoir donné lieu à des engagements fermes (sous quelque forme que ce soit : marché signé, commande signée, devis accepté…)
- Éligible pour les sites de moins de 250 salariés des grandes entreprises, dès lors que l’entreprise est à jour de ses obligations vis-à-vis de l’audit énergétique réglementaire
- Ne sont pas éligibles : les sites de moins de 250 salariés des grandes entreprises dès lors que l'échéance de renouvellement de l'audit énergétique réglementaire est inférieure à 1 an, ainsi que les locaux d’activité tertiaire seuls.","'Secteurs Préférentiels de l'aide' : [A, B, C, D, E]"
37ba2239-222f-421b-9d11-b28a4fc476a8,Label Clef Verte,"Restaurateurs & hébergeurs, obtenez un label pour valoriser l'engagement environnemental de votre entreprise","Obtenez le Label Clef verte, le premier ecolabel de tourisme durable destiné aux hébergements touristiques et restaurants. Ce label certifie l'engagement de votre établissement en faveur d'un tourisme plus durable.","Le label Clef Verte atteste que la démarche environnementale de l'hébergement touristique ou du restaurant répond à plus d'une centaine de critères dans tous les domaines de la gestion touristique durable. Ces critères permettent aux établissements de réduire leur impact environnemental et de s’engager en faveur de la réalisation des Objectifs de Développement Durable de l’ONU. Les critères du label Clef Verte / Green Key sont établis au niveau international par la Foundation for Environmental Education et revus tous les 4 ans pour tenir compte des progrès technologiques et des enjeux environnementaux. 

Les thématiques des critères Clef Verte sont les suivantes :
• Gestion environnementale générale, formation des employés, responsabilité sociale
• Information aux hôtes, activités nature, affichage d'éco-gestes
• Gestion de la ressource eau et assainissement, capacités des robinetteries, arrosage
• Tri des déchets, réduction des volumes, 
• Gestion des ressources en énergie , chaleur et rafraichissement, équipement domestique, éclairage
• Achats responsables : alimentaire, entretien, papeterie, mobilier, autres achats
• Environnement intérieur, environnement extérieur",01/05/2023,31/12/2026,https://www.cci.fr/offre/valorisez-les-demarches-environnementales-de-votre-entreprise,,écologie > analyses,Créez un compte et réalisez un auto-diagnostic pour évaluer l'éligibilité de votre établissement au label. Cette étape est gratuite et sans engagement.,[Créez un compte](https://pro.laclefverte.org/),Définissez votre plan d'action et validez votre candidature en ligne. L'envoi des dossiers de candidatures se fait à partir de janvier et se termine mi-avril.,,Recevez la visite d'un auditeur Clef Verte dans votre établissement. Obtenez un compte-rendu des pistes d'améliorations à mettre en œuvre.,,"Bénéficiez d'un accompagnement par l'équipe Clef Verte pour faire progresser votre démarche et présenter un dossier le plus qualitatif possible au Jury de fin d'année (rapport d'audit, actions engagées et pièces justificatives, synthèse du suivi, etc.)",,Le label vous est attribué par un jury indépendant pour une durée d'un an.,,,,,,Chambre de Commerce et de l'Industrie,187500020,étude,,"Entre 160 € et 2300 €, en fonction de votre activité",À renouveler chaque année,Entreprises privées,France entière,Hôtellerie & restauration,Toutes tailles,,'Secteurs Préférentiels de l'aide' : [I]
b471aaf1-7dbc-4c7e-85bc-5d8d5078bdc3,Baisse Les Watts,Bénéficiez d'outils et de formations pour économiser l'énergie en entreprise,"Le programme Baisse les Watts vous accompagne dans la maîtrise de votre consommation d’énergie, à l'aide de trois dispositifs : le Carnet de bord Énergie, un accompagnement téléphonique et un parcours de formations collectives et individuelles.","Baisse les Watts vous aide à réduire votre consommation en :
- Électricité,
- Gaz,
- Fioul,
- GPL,
- RCU (Réseau de chaleur urbain) – hors carburants.",01/01/2023,01/05/2025,https://www.baisseleswatts.fr/?mtm_campaign=missiontransitionecologique&mtm_source=missiontransitionecologique&mtm_medium=missiontransitionecologique&mtm_content=missiontransitionecologique,,écologie > energie,Créez votre compte entreprise sur le site de Baisse les Watts.,[Créer un compte](https://www.baisseleswatts.fr/?mtm_campaign=missiontransitionecologique&mtm_source=missiontransitionecologique&mtm_medium=missiontransitionecologique&mtm_content=missiontransitionecologique),"Visualisez votre consommation d'énergie par équipement en ouvrant un ""Carnet de bord Energie"".",,Identifiez des écogestes spécifiques à votre activité afin de baisser votre facture énergétique.,,Bénéficiez d'un accompagnement personnalisé avec le suivi d’un conseiller.,,"Inscrivez-vous à des formations dispensées par les CCI ou CMA sous forme d'ateliers collectifs, complétées par un suivi individuel dans vos locaux avec un conseiller énergie.",,Suivez à votre rythme un parcours de formation en ligne personnalisé selon votre secteur d’activité.,,,,La Poste ; Chambre de Commerce et de l'Industrie ; Chambre des Métiers et de l'Artisanat,356000000 ; 187500020 ; 187500046,étude,,Gratuit,2 jours,Entreprises privées,France entière,Tous secteurs d’activité,Toutes tailles,,"'Secteurs Préférentiels de l'aide' : [A, B, C, D, E, F, G, H, I, J, K, L, M, N, O, P, Q, R, S, T, U]"
2500f4c3-45ff-4988-b273-6b09582a10e4,Bonus écologique,Économisez sur l'achat d'un véhicule propre,"Bénéficiez d'une aide pour louer ou acheter un véhicule peu polluant, neuf ou d'occasion : vélo, voiture, camionnette, 2 ou 3 roues motorisé, quadricycle (électrique, hydrogène ou combinaison des deux).",,,14/02/2025,https://www.primealaconversion.gouv.fr/dboneco/accueil/access.html,,écologie > mobilite,"Louez ou achetez votre véhicule ""propre"" et déposez votre demande de Bonus écologique dans les six mois.",,"Créez votre dossier sur le site, en cliquant sur ""Saisir ma demande par courrier"" en bas de page. (rubrique ""Vous représentez une personne morale ou vous souhaitez faire une demande par courrier"")",[Primealaconversion.gouv.fr](https://www.primealaconversion.gouv.fr/dboneco/accueil/access.html),Complétez le formulaire en ligne. Vous recevrez le récapitulatif de votre demande par mail.,,Constituez votre dossier avec les pièces justificatives demandées. (consultez les pages n°2 destinées aux entreprises),[Pièces justificatives - véhicule](https://www.primealaconversion.gouv.fr/dboneco/accueil/media/documents/Hors_PJ.pdf) ; [Pièces justificatives - vélo](https://www.primealaconversion.gouv.fr/dboneco/accueil/media/documents/Cycles_PJ.pdf),Envoyez le récapitulatif de votre demande et vos pièces justificatives par courrier au « service - Bonus écologique » de votre ASP de rattachement.,[Adresse postale (page 4)](https://www.asp-public.fr/sites/default/files/content/aides/documents/bonus-eco/NOTICE_CONVENTIONNEMENT_BONUS_PRO.pdf),Recevez le bonus écologique !,,,,ASP,130006372,Financement,,"jusqu’à 9 000 €, selon le véhicule",,Entreprises privées,France entière,Tous secteurs d’activité,Toutes tailles,,"'Secteurs Préférentiels de l'aide' : [A, B, C, D, E, F, G, H, I, J, K, L, M, N, O, P, Q, R, S, T, U]"
2ede5f68-859c-496c-9387-5dbd1ea8e1c9,Booster Éco-Énergie Tertiaire,Bénéficiez d'un accompagnement pour la rénovation énergétique de vos bâtiments,"Vous avez des bâtiments d'activités tertiaires et souhaitez réduire vos consommations d'énergie ? L’ADEME soutient financièrement le coût de prestations d’audit pour obtenir un plan d’action et un plan de financement, ainsi que l’ingénierie de réalisation de travaux d'économie d'énergie.","• Votre entreprise dispose de bâtiments de moins de 1 000 m² à usage tertiaire ? Le financement ""Booster Entreprises Eco-Energie Tertiaire"" offre un soutien pour réaliser un audit énergétique, un plan d'action sur 2 ans et l'ingénierie pour la réalisation de vos travaux d'économie d'énergie.

• Votre entreprise dispose de bâtiments de 1 000 m², et plus, à usage tertiaire ? Le dispositif ""Booster Entreprises Eco-Energie Tertiaire"" offre un soutien uniquement à la phase 3, à savoir l'ingénierie pour la mise en œuvre d'actions et de travaux permettant l’atteinte des exigences du Dispositif Eco Energie Tertiaire (DEET). Le DEET est une obligation réglementaire engageant les acteurs du tertiaire vers la sobriété énergétique. Issu du décret 2019?771 du 23 juillet 2019 dit « décret tertiaire », il impose une réduction progressive de la consommation d’énergie dans les bâtiments et parties de bâtiments de 1 000 m², et plus, à usage tertiaire afin de lutter contre le changement climatique.",01/01/2023,31/12/2025,https://agirpourlatransition.ademe.fr/entreprises/aides-financieres/2025/booster-entreprises-reduire-facture-energetique-gagner-valeur-verte,,écologie > batiment ; écologie > energie,Vérifiez l’éligibilité de votre projet en parcourant la documentation de l’ADEME ou en contactant un conseiller.,[Conditions éligibilité et financement](https://agirpourlatransition.ademe.fr/entreprises/sites/default/files/Booster%20Entreprises%20Eco-Energie%20Tertiaire%20-%20Conditions%20d%27%C3%A9ligibilit%C3%A9%20et%20de%20financement%20-%202025.docx),Identifiez le prestataire qui va vous accompagner pour réaliser l'audit énergétique et faites réaliser un devis.,,Définissez la prestation nécessaire pour mettre en œuvre vos travaux : une mission de maîtrise d’œuvre rénovation énergétique / ou une mission d'assistance à maitrise d'ouvrage pour la mise en oeuvre d'un Contrat de Performance Énergétique (CPE).,,Choisissez les prestataires qui vous accompagneront pour vos missions d'ingénierie et faites réaliser des devis. Ces prestataires doivent répondre aux critères de qualification et compétences décrits dans les cahiers des charges de l'ADEME.,,Créez un compte ADEME pour pouvoir déposer votre dossier.,[Créer mon compte ADEME](https://agirpourlatransition.ademe.fr/user/register),"Déposez votre demande d'aide auprès de l'ADEME : informations administratives, description du projet, rapport d'audit énergétique, détails techniques et financiers, etc. A ce stade, votre audit ou missions d'ingénierie ne doivent pas avoir commencé !",[Déposer mon dossier](https://agirpourlatransition.ademe.fr/entreprises/aides-financieres/2025/booster-entreprises-reduire-facture-energetique-gagner-valeur-verte),,,ADEME,385290309,Financement-étude,,"Jusqu'à 80% du coût de l'étude, dans un maximum de 100 000 €",,Entreprises privées,Polynésie française ; Mayotte ; Martinique ; La Réunion ; Guyane ; Guadeloupe ; Bretagne ; Bourgogne-Franche-Comté ; Auvergne-Rhône-Alpes ; Occitanie ; Corse,Secteur tertiaire,Toutes tailles,"- Être une entreprise privée ayant des bâtiments d'activités tertiaires
- L'opération pour laquelle vous sollicitez une aide financière ne doit pas avoir commencé ou ne doit pas avoir donné lieu à des engagements fermes (sous quelque forme que ce soit : marché signé, commande signée, devis accepté…)","'Secteurs Préférentiels de l'aide' : [F, G, H, I, J, K, L, M, N, O, P, Q, R, S, T, U]"
51720f20-668f-495c-896f-e0f4c6d52d70,ClimaDiag expert,Anticipez l’impact des changements climatiques pour votre entreprise et sécurisez votre activité,"Anticipez les effets du changement climatique sur votre activité avec l’accompagnement d’un expert CCI. Grâce à un diagnostic réalisé sur site, évaluez la vulnérabilité de votre entreprise et définissez un plan d’adaptation concret.\
L’accompagnement vous permet de :

- Hiérarchiser les risques climatiques (canicule, inondation, sécheresse…)

- Analyser les impacts sur vos clients, fournisseurs et concurrents

- Concevoir un plan d’actions adapté à votre réalité opérationnelle

- Identifier des solutions de financement pour engager les premières actions",,01/10/2023,01/08/2026,https://www.grandest.cci.fr/produit/climadiag-expert,,écologie > analyses,Exprimez votre intérêt en contactant un conseiller via le formulaire.,,Un conseiller CCI vous rappelle pour répondre à vos questions et vous guider dans la constitution de votre demande.,,Planifiez le diagnostic sur site avec le chargé d’étude qui vous sera attribué.,,,,,,,,,,Chambre de Commerce et de l'Industrie ; ADEME ; Agence de l'Eau,187500020 ; 385290309 ; 185703014,étude,,Gratuit,5 à 10 jours selon la taille de l'entreprise,Entreprises privées,Bourgogne-Franche-Comté,Industrie,Toutes tailles,,"'Secteurs Préférentiels de l'aide' : [B, C, D, E, F, H]"
